SAMPID	SMTS
GTEX-1122O-1526-SM-5N9CL	Colon
GTEX-1122O-1626-SM-5N9CX	Esophagus
GTEX-1122O-1726-SM-5GICM	Esophagus
GTEX-1122O-1826-SM-5EGIP	Esophagus
GTEX-1122O-1926-SM-5EGIQ	Stomach
GTEX-1122O-2026-SM-5NQ91	Adipose Tissue
GTEX-1122O-2126-SM-5EGIR	Skin
GTEX-1122O-2426-SM-5GIDN	Muscle
GTEX-1128S-0001-SM-58Q96	Blood
GTEX-1128S-0001-SM-5DWTV	Blood
GTEX-1128S-0001-SM-6WBUH	Blood
GTEX-1128S-0005-SM-5P9HI	Blood
GTEX-1128S-0008-SM-5Q5DP	Skin
GTEX-1128S-0126-SM-5H12S	Thyroid
GTEX-1128S-0326-SM-5GZZF	Blood Vessel
GTEX-1128S-0726-SM-5N9D6	Lung
GTEX-1128S-0826-SM-5GZZI	Pancreas
GTEX-1128S-0926-SM-5GZZU	Adipose Tissue
GTEX-1128S-1626-SM-5H12O	Colon
GTEX-1128S-2126-SM-5H12U	Adipose Tissue
GTEX-1128S-2326-SM-5GZZY	Skin
GTEX-1128S-2426-SM-5H11B	Muscle
GTEX-1128S-2526-SM-5H11N	Blood Vessel
GTEX-1128S-2626-SM-5H11Z	Pituitary
GTEX-1128S-2726-SM-5H12C	Brain
GTEX-1128S-2826-SM-5N9DI	Brain
GTEX-113IC-0001-SM-58Q97	Blood
GTEX-113IC-0001-SM-5DWSI	Blood
GTEX-113IC-0006-SM-5NQ9C	Blood
GTEX-113IC-0008-SM-5QGRF	Skin
GTEX-113IC-0126-SM-5HL6T	Skin
GTEX-113IC-0226-SM-5HL5C	Adipose Tissue
GTEX-113IC-0426-SM-5HL5O	Blood Vessel
GTEX-113IC-0526-SM-5HL76	Nerve
GTEX-113JC-0001-SM-58Q7M	Blood
GTEX-113JC-0001-SM-5DWSH	Blood
GTEX-113JC-0001-SM-6WBTD	Blood
GTEX-113JC-0006-SM-5O997	Blood
GTEX-113JC-0008-SM-5QGR6	Skin
GTEX-113JC-0126-SM-5EGJW	Thyroid
GTEX-113JC-0726-SM-5GZZR	Adipose Tissue
GTEX-113JC-0926-SM-5H114	Esophagus
GTEX-113JC-1026-SM-5H117	Esophagus
GTEX-113JC-1926-SM-5N9GE	Vagina
GTEX-113JC-2226-SM-5EGJG	Uterus
GTEX-113JC-2326-SM-5EQ4E	Skin
GTEX-113JC-2726-SM-5EGIS	Muscle
GTEX-113JC-2826-SM-5EGIT	Pituitary
GTEX-117XS-0001-SM-58Q7J	Blood
GTEX-117XS-0001-SM-5DWSE	Blood
GTEX-117XS-0001-SM-6WBTA	Blood
GTEX-117XS-0005-SM-5PNU6	Blood
GTEX-117XS-0008-SM-5Q5DQ	Skin
GTEX-117XS-0426-SM-5GZZN	Blood Vessel
GTEX-117XS-0526-SM-5987Q	Thyroid
GTEX-117XS-0726-SM-5H131	Heart
GTEX-117XS-1926-SM-5GICO	Breast
GTEX-117XS-2026-SM-5GID1	Testis
GTEX-117XS-2226-SM-5GIE1	Colon
GTEX-117XS-2526-SM-5H11G	Muscle
GTEX-117XS-2726-SM-5N9BL	Skin
GTEX-117XS-2926-SM-5N9BX	Pituitary
GTEX-117XS-3026-SM-5N9CA	Brain
GTEX-117XS-3126-SM-5GIDP	Brain
GTEX-117YW-0003-SM-58Q99	Blood
GTEX-117YW-0003-SM-5DWRD	Blood
GTEX-117YW-0003-SM-6WBSY	Blood
GTEX-117YW-0005-SM-5NQ8Z	Blood
GTEX-117YW-0008-SM-5QGRD	Skin
GTEX-117YW-0126-SM-5EGGN	Thyroid
GTEX-117YW-0226-SM-5N9CM	Blood Vessel
GTEX-117YW-0326-SM-5N9CY	Heart
GTEX-117YW-0426-SM-5GZZZ	Heart
GTEX-117YW-0526-SM-5H11C	Lung
GTEX-117YW-0826-SM-5H11O	Adipose Tissue
GTEX-117YW-1426-SM-5EGGO	Prostate
GTEX-117YW-1526-SM-5EGGP	Testis
GTEX-117YW-1826-SM-5PNY5	Colon
GTEX-117YW-1926-SM-5H121	Esophagus
GTEX-117YW-2026-SM-5N9BH	Esophagus
GTEX-117YW-2226-SM-5N9DB	Stomach
GTEX-117YW-2426-SM-5Q5AE	Muscle
GTEX-117YW-2626-SM-5GZZH	Skin
GTEX-117YW-2726-SM-5GZZT	Blood Vessel
GTEX-117YW-2826-SM-5H116	Pituitary
GTEX-117YW-2926-SM-5GIEQ	Brain
GTEX-117YX-0001-SM-5DU4O	Blood
GTEX-117YX-0001-SM-7DRQ6	Blood
GTEX-117YX-0126-SM-5EGH5	Adrenal Gland
GTEX-117YX-0226-SM-5EGH6	Pancreas
GTEX-117YX-0326-SM-5GICL	Small Intestine
GTEX-117YX-0526-SM-5EGJH	Colon
GTEX-117YX-0626-SM-5EGJI	Heart
GTEX-117YX-0726-SM-5GIET	Adipose Tissue
GTEX-117YX-0826-SM-5H11J	Colon
GTEX-117YX-1026-SM-5H11V	Stomach
GTEX-117YX-1126-SM-5H128	Heart
GTEX-117YX-1226-SM-5H11S	Thyroid
GTEX-117YX-1326-SM-5H125	Lung
GTEX-117YX-1426-SM-5H12H	Breast
GTEX-117YX-1526-SM-5H12T	Prostate
GTEX-117YX-1626-SM-5GZZG	Esophagus
GTEX-117YX-1726-SM-5GZZS	Blood Vessel
GTEX-117YX-1826-SM-5H12K	Esophagus
GTEX-117YX-1926-SM-5GIEC	Skin
GTEX-117YX-2026-SM-5GIEF	Testis
GTEX-117YX-2126-SM-5GIEL	Spleen
GTEX-117YX-2226-SM-5EGJJ	Adipose Tissue
GTEX-117YX-2326-SM-5H12W	Skin
GTEX-117YX-2426-SM-5GZZJ	Nerve
GTEX-117YX-2526-SM-5EQ4Q	Muscle
GTEX-117YX-2626-SM-5EQ53	Blood Vessel
GTEX-1192W-0001-SM-58Q7T	Blood
GTEX-1192W-0001-SM-5DWSN	Blood
GTEX-1192W-0001-SM-6WBTI	Blood
GTEX-1192W-0005-SM-5NQBQ	Blood
GTEX-1192W-0008-SM-5QGRE	Skin
GTEX-1192W-0126-SM-5EGGS	Thyroid
GTEX-1192W-0226-SM-5EGGT	Heart
GTEX-1192W-0826-SM-5EGHE	Esophagus
GTEX-1192W-2326-SM-5N9BS	Testis
GTEX-1192W-2626-SM-5Q5AF	Skin
GTEX-1192W-3026-SM-5GZZV	Pituitary
GTEX-1192X-0004-SM-58Q7Q	Blood
GTEX-1192X-0004-SM-5DWSK	Blood
GTEX-1192X-0004-SM-6WBTF	Blood
GTEX-1192X-0005-SM-5NQC3	Blood
GTEX-1192X-0008-SM-5Q5B7	Skin
GTEX-1192X-0226-SM-5H12D	Skin
GTEX-1192X-0326-SM-5H11U	Nerve
GTEX-1192X-0426-SM-5GIEE	Muscle
GTEX-1192X-0726-SM-5987R	Heart
GTEX-1192X-1026-SM-5H12P	Liver
GTEX-1192X-1126-SM-5EGGU	Thyroid
GTEX-1192X-1526-SM-5H11I	Adipose Tissue
GTEX-1192X-1826-SM-5GIE2	Esophagus
GTEX-1192X-2326-SM-5987X	Breast
GTEX-1192X-2526-SM-59868	Small Intestine
GTEX-1192X-2726-SM-5N9DN	Skin
GTEX-1192X-2926-SM-5N9BA	Salivary Gland
GTEX-1192X-3026-SM-5N9BM	Pituitary
GTEX-1192X-3126-SM-5N9BY	Brain
GTEX-1192X-3226-SM-5987D	Brain
GTEX-11DXW-0003-SM-58Q7S	Blood
GTEX-11DXW-0003-SM-5DWSM	Blood
GTEX-11DXW-0006-SM-5NQ7Y	Blood
GTEX-11DXW-0008-SM-5Q59V	Skin
GTEX-11DXW-0226-SM-5H122	Skin
GTEX-11DXW-0326-SM-5H11W	Adipose Tissue
GTEX-11DXW-0426-SM-5H12E	Nerve
GTEX-11DXW-0526-SM-5H127	Blood Vessel
GTEX-11DXW-0626-SM-5N9ER	Breast
GTEX-11DXW-0726-SM-5H12J	Muscle
GTEX-11DXW-0826-SM-5H118	Skin
GTEX-11DXW-1026-SM-5H11K	Brain
GTEX-11DXW-1126-SM-5H12Q	Brain
GTEX-11DXW-1226-SM-5H133	Pituitary
GTEX-11DXX-0004-SM-58Q7I	Blood
GTEX-11DXX-0004-SM-5DWSD	Blood
GTEX-11DXX-0004-SM-6WBT9	Blood
GTEX-11DXX-0005-SM-5NQ8B	Blood
GTEX-11DXX-0008-SM-5Q5B8	Skin
GTEX-11DXX-0126-SM-5EGH7	Adrenal Gland
GTEX-11DXX-0226-SM-5P9HL	Thyroid
GTEX-11DXX-0326-SM-5PNWC	Heart
GTEX-11DXX-0426-SM-5EQ5F	Blood Vessel
GTEX-11DXX-0526-SM-5PNVR	Heart
GTEX-11DXX-0626-SM-5Q5AG	Lung
GTEX-11DXX-0726-SM-5H12X	Spleen
GTEX-11DXX-0826-SM-5GZZP	Blood Vessel
GTEX-11DXX-0926-SM-5H112	Pancreas
GTEX-11DXX-1026-SM-5H11E	Esophagus
GTEX-11DXX-1126-SM-5GZZK	Esophagus
GTEX-11DXX-1226-SM-5GICD	Esophagus
GTEX-11DXX-1326-SM-5GIDZ	Stomach
GTEX-11DXX-1426-SM-5GIDU	Ovary
GTEX-11DXX-1526-SM-5H115	Uterus
GTEX-11DXX-1626-SM-5H11H	Small Intestine
GTEX-11DXX-1726-SM-5H11T	Vagina
GTEX-11DXX-1826-SM-5H126	Colon
GTEX-11DXX-1926-SM-5EGJK	Colon
GTEX-11DXX-2026-SM-5EGJL	Adipose Tissue
GTEX-11DXX-2126-SM-5PNYR	Skin
GTEX-11DXX-2326-SM-5Q5A2	Adipose Tissue
GTEX-11DXX-2426-SM-5GZZW	Skin
GTEX-11DXX-2526-SM-5H119	Nerve
GTEX-11DXX-2626-SM-5Q5A3	Blood Vessel
GTEX-11DXX-2726-SM-5PNXO	Muscle
GTEX-11DXY-0004-SM-58Q7Z	Blood
GTEX-11DXY-0004-SM-5DWST	Blood
GTEX-11DXY-0004-SM-6WBTO	Blood
GTEX-11DXY-0006-SM-5NQ8N	Blood
GTEX-11DXY-0008-SM-5QGR4	Skin
GTEX-11DXY-0126-SM-5H11Q	Skin
GTEX-11DXY-0226-SM-5H123	Testis
GTEX-11DXY-0326-SM-5H12F	Adipose Tissue
GTEX-11DXY-0426-SM-5H12R	Thyroid
GTEX-11DXY-0526-SM-5EGGQ	Liver
GTEX-11DXY-0826-SM-5EGGR	Heart
GTEX-11DXY-1026-SM-5987V	Heart
GTEX-11DXY-1126-SM-5987W	Blood Vessel
GTEX-11DXY-1326-SM-5987Z	Esophagus
GTEX-11DXY-1426-SM-5N9CN	Esophagus
GTEX-11DXY-1526-SM-5H129	Esophagus
GTEX-11DXY-1626-SM-5H12L	Adrenal Gland
GTEX-11DXY-2026-SM-5N9CZ	Colon
GTEX-11DXY-2326-SM-5GICW	Breast
GTEX-11DXY-2626-SM-5GIE7	Skin
GTEX-11DXY-2726-SM-5GID2	Muscle
GTEX-11DXY-3026-SM-5N9CB	Pituitary
GTEX-11DXY-3126-SM-5N9BT	Brain
GTEX-11DXY-3226-SM-5GIDE	Brain
GTEX-11DXZ-0003-SM-58Q7X	Blood
GTEX-11DXZ-0003-SM-5DWSR	Blood
GTEX-11DXZ-0003-SM-6WBTM	Blood
GTEX-11DXZ-0006-SM-5LZZH	Blood
GTEX-11DXZ-0126-SM-5EGGY	Liver
GTEX-11DXZ-0226-SM-5EGGZ	Adrenal Gland
GTEX-11DXZ-0326-SM-5EGH1	Heart
GTEX-11DXZ-0426-SM-5987Y	Blood Vessel
GTEX-11DXZ-0526-SM-5GU7J	Blood Vessel
GTEX-11DXZ-0626-SM-5GU77	Heart
GTEX-11DXZ-0726-SM-5N9C4	Lung
GTEX-11DXZ-0926-SM-5N9CG	Thyroid
GTEX-11DXZ-1026-SM-5N9D5	Esophagus
GTEX-11DXZ-1226-SM-5H11L	Esophagus
GTEX-11DXZ-1326-SM-5H11X	Small Intestine
GTEX-11DXZ-1426-SM-5H12A	Adipose Tissue
GTEX-11DXZ-1626-SM-5GIDI	Colon
GTEX-11DXZ-1726-SM-5H12M	Colon
GTEX-11DXZ-1826-SM-5H12Y	Prostate
GTEX-11DXZ-1926-SM-5GZZL	Breast
GTEX-11DXZ-2026-SM-5987S	Skin
GTEX-11DXZ-2126-SM-59881	Testis
GTEX-11DXZ-2226-SM-5EGH2	Adipose Tissue
GTEX-11DXZ-2326-SM-5EGGV	Skin
GTEX-11DXZ-2426-SM-5N9DT	Muscle
GTEX-11DXZ-2526-SM-5N9BG	Nerve
GTEX-11DXZ-2626-SM-59882	Blood Vessel
GTEX-11DYG-0004-SM-58Q7K	Blood
GTEX-11DYG-0004-SM-5DWSF	Blood
GTEX-11DYG-0004-SM-6WBTB	Blood
GTEX-11DYG-0006-SM-5NQB2	Blood
GTEX-11DYG-0008-SM-5QGR5	Skin
GTEX-11DYG-0126-SM-59883	Skin
GTEX-11DYG-0426-SM-5987J	Nerve
GTEX-11DYG-0826-SM-5N9GH	Thyroid
GTEX-11DYG-0926-SM-5EGGW	Blood Vessel
GTEX-11DYG-1026-SM-5A5JQ	Heart
GTEX-11DYG-1226-SM-5N9DC	Blood Vessel
GTEX-11DYG-1326-SM-5N9DO	Esophagus
GTEX-11DYG-1426-SM-5A5JR	Esophagus
GTEX-11DYG-1526-SM-5A5JS	Skin
GTEX-11DYG-1926-SM-5H12I	Esophagus
GTEX-11DYG-2026-SM-5EGGX	Adipose Tissue
GTEX-11DYG-2526-SM-5N9BB	Prostate
GTEX-11DYG-2926-SM-5H132	Brain
GTEX-11DYG-3126-SM-5A5L6	Pituitary
GTEX-11DZ1-0002-SM-58Q7R	Blood
GTEX-11DZ1-0002-SM-5DWSL	Blood
GTEX-11DZ1-0002-SM-6WBTG	Blood
GTEX-11DZ1-0008-SM-5QGR3	Skin
GTEX-11DZ1-0126-SM-5985Q	Skin
GTEX-11DZ1-0226-SM-5A5KF	Adipose Tissue
GTEX-11DZ1-0326-SM-5N9BN	Breast
GTEX-11DZ1-0426-SM-5H11A	Lung
GTEX-11DZ1-0926-SM-5EQ5R	Muscle
GTEX-11DZ1-2026-SM-5A5KG	Esophagus
GTEX-11DZ1-2426-SM-5GZZX	Skin
GTEX-11DZ1-2726-SM-5A5KH	Thyroid
GTEX-11DZ1-2926-SM-5A5KI	Brain
GTEX-11EI6-0004-SM-58Q7L	Blood
GTEX-11EI6-0004-SM-5DWSG	Blood
GTEX-11EI6-0004-SM-6WBTC	Blood
GTEX-11EI6-0005-SM-5N9GN	Blood
GTEX-11EI6-0008-SM-5QGR7	Skin
GTEX-11EI6-0126-SM-5985R	Skin
GTEX-11EI6-0226-SM-5EQ64	Adipose Tissue
GTEX-11EI6-0326-SM-5EQ6G	Muscle
GTEX-11EI6-0426-SM-5EQ43	Nerve
GTEX-11EI6-0526-SM-5985S	Blood Vessel
GTEX-11EI6-0626-SM-5985T	Breast
GTEX-11EI6-0726-SM-59866	Thyroid
GTEX-11EI6-0826-SM-5985V	Lung
GTEX-11EI6-1526-SM-5P9GL	Esophagus
GTEX-11EI6-2226-SM-5EGJM	Testis
GTEX-11EI6-2426-SM-5PNVS	Stomach
GTEX-11EI6-2626-SM-5PNVT	Colon
GTEX-11EI6-2826-SM-5H11D	Skin
GTEX-11EI6-2926-SM-5985U	Brain
GTEX-11EI6-3026-SM-5GZZO	Brain
GTEX-11EI6-3126-SM-5H111	Pituitary
GTEX-11EM3-0001-SM-5Q5BD	Blood
GTEX-11EM3-0004-SM-58Q9C	Blood
GTEX-11EM3-0004-SM-5DWTY	Blood
GTEX-11EM3-0004-SM-6WBUK	Blood
GTEX-11EM3-0005-SM-5N9DK	Blood
GTEX-11EM3-0126-SM-5985K	Thyroid
GTEX-11EM3-0226-SM-5985Y	Blood Vessel
GTEX-11EM3-0326-SM-5A5KJ	Adrenal Gland
GTEX-11EM3-0426-SM-5N9BZ	Heart
GTEX-11EM3-0526-SM-5H12N	Blood Vessel
GTEX-11EM3-0626-SM-5H12Z	Heart
GTEX-11EM3-0726-SM-5GZZM	Esophagus
GTEX-11EM3-0826-SM-5N9CC	Esophagus
GTEX-11EM3-0926-SM-5A5KK	Esophagus
GTEX-11EM3-1026-SM-5A5KL	Stomach
GTEX-11EM3-1126-SM-5A5KM	Adipose Tissue
GTEX-11EM3-1226-SM-5N9DD	Skin
GTEX-11EM3-1326-SM-5N9C6	Breast
GTEX-11EM3-1526-SM-5A5KN	Colon
GTEX-11EM3-1626-SM-5N9CO	Colon
GTEX-11EM3-1726-SM-5N9D1	Ovary
GTEX-11EM3-1826-SM-5A5KO	Vagina
GTEX-11EM3-1926-SM-5987U	Uterus
GTEX-11EM3-2126-SM-5H11M	Muscle
GTEX-11EM3-2226-SM-5H11Y	Blood Vessel
GTEX-11EM3-2326-SM-5H12B	Adipose Tissue
GTEX-11EM3-2426-SM-59861	Skin
GTEX-11EMC-0002-SM-5Q5DO	Blood
GTEX-11EMC-0004-SM-58Q8T	Blood
GTEX-11EMC-0004-SM-5DWTM	Blood
GTEX-11EMC-0004-SM-6WBUA	Blood
GTEX-11EMC-0006-SM-5O9DN	Blood
GTEX-11EMC-0008-SM-5Q5DR	Skin
GTEX-11EMC-0126-SM-5EGKV	Lung
GTEX-11EMC-0226-SM-5EGLP	Thyroid
GTEX-11EMC-0526-SM-5EGJN	Adrenal Gland
GTEX-11EMC-0726-SM-5EGJO	Heart
GTEX-11EMC-0826-SM-59862	Heart
GTEX-11EMC-0926-SM-59863	Blood Vessel
GTEX-11EMC-1426-SM-5N9E4	Colon
GTEX-11EMC-1726-SM-5H11P	Ovary
GTEX-11EMC-1826-SM-5A5JT	Uterus
GTEX-11EMC-1926-SM-5A5JU	Vagina
GTEX-11EMC-2026-SM-5A5JV	Breast
GTEX-11EMC-2226-SM-5A5JW	Esophagus
GTEX-11EMC-2526-SM-5PNVU	Salivary Gland
GTEX-11EMC-2626-SM-59864	Muscle
GTEX-11EMC-2826-SM-5PNY6	Adipose Tissue
GTEX-11EMC-2926-SM-5EQ4F	Skin
GTEX-11EMC-3026-SM-5EQ4R	Blood Vessel
GTEX-11EMC-3126-SM-5EGJP	Pituitary
GTEX-11EMC-3226-SM-5EGKW	Brain
GTEX-11EMC-3326-SM-5P9JH	Brain
GTEX-11EQ8-0001-SM-58Q82	Blood
GTEX-11EQ8-0001-SM-5DWSU	Blood
GTEX-11EQ8-0001-SM-6WBTP	Blood
GTEX-11EQ8-0006-SM-5P9HJ	Blood
GTEX-11EQ8-0008-SM-5Q5DJ	Skin
GTEX-11EQ8-0126-SM-5EQ54	Skin
GTEX-11EQ8-0226-SM-5EQ5G	Adipose Tissue
GTEX-11EQ8-0426-SM-5N9DP	Blood Vessel
GTEX-11EQ8-0526-SM-5N9BC	Muscle
GTEX-11EQ8-0826-SM-5N9FG	Thyroid
GTEX-11EQ8-0926-SM-5H12V	Skin
GTEX-11EQ8-1326-SM-5EGJQ	Heart
GTEX-11EQ8-1426-SM-5EGJR	Testis
GTEX-11EQ8-2626-SM-5N9BO	Colon
GTEX-11EQ8-2826-SM-5N9C1	Brain
GTEX-11EQ9-0002-SM-5QGQ1	Blood
GTEX-11EQ9-0003-SM-58Q7V	Blood
GTEX-11EQ9-0003-SM-5DWSP	Blood
GTEX-11EQ9-0003-SM-6WBTK	Blood
GTEX-11EQ9-0006-SM-5LUB6	Blood
GTEX-11EQ9-0008-SM-5Q5DK	Skin
GTEX-11EQ9-0126-SM-5986I	Adrenal Gland
GTEX-11EQ9-0226-SM-5A5JX	Lung
GTEX-11EQ9-0426-SM-5A5JY	Spleen
GTEX-11EQ9-0526-SM-5A5JZ	Liver
GTEX-11EQ9-0626-SM-5A5K1	Thyroid
GTEX-11EQ9-0726-SM-5A5K2	Esophagus
GTEX-11EQ9-0826-SM-5986Y	Esophagus
GTEX-11EQ9-0926-SM-5HL6I	Esophagus
GTEX-11EQ9-1026-SM-5H134	Pancreas
GTEX-11EQ9-1126-SM-5987I	Adipose Tissue
GTEX-11EQ9-1226-SM-5987E	Stomach
GTEX-11EQ9-1326-SM-5985X	Small Intestine
GTEX-11EQ9-1426-SM-5987G	Colon
GTEX-11EQ9-1526-SM-5PNY7	Colon
GTEX-11EQ9-1626-SM-5PNY8	Skin
GTEX-11EQ9-1726-SM-5HL6U	Prostate
GTEX-11EQ9-1826-SM-5Q5AJ	Breast
GTEX-11EQ9-1926-SM-5PNVV	Testis
GTEX-11EQ9-2026-SM-5P9JI	Salivary Gland
GTEX-11EQ9-2126-SM-5PNVW	Muscle
GTEX-11EQ9-2226-SM-5987H	Blood Vessel
GTEX-11EQ9-2326-SM-5HL5H	Nerve
GTEX-11EQ9-2426-SM-5HL5T	Skin
GTEX-11EQ9-2526-SM-5HL66	Adipose Tissue
GTEX-11GS4-0004-SM-58Q7W	Blood
GTEX-11GS4-0004-SM-5DWSQ	Blood
GTEX-11GS4-0004-SM-6WBTL	Blood
GTEX-11GS4-0006-SM-5SI9M	Blood
GTEX-11GS4-0008-SM-5QGRA	Skin
GTEX-11GS4-0226-SM-5HL77	Skin
GTEX-11GS4-0326-SM-5N9F7	Blood Vessel
GTEX-11GS4-0426-SM-5N9CD	Heart
GTEX-11GS4-0526-SM-5A5KQ	Heart
GTEX-11GS4-0626-SM-5A5LC	Blood Vessel
GTEX-11GS4-0826-SM-5986J	Thyroid
GTEX-11GS4-1026-SM-5N9DE	Adipose Tissue
GTEX-11GS4-1426-SM-5N9D2	Esophagus
